hsa-let-7a,MIMAT0000062
hsa-miR-3649,MIMAT0018069
hsa-miR-365,MIMAT0000710
hsa-miR-365-3p,MIMAT0009199
hsa-miR-3650,MIMAT0018070
hsa-miR-3651,MIMAT0018071
hsa-miR-3652,MIMAT0018072
hsa-miR-3653,MIMAT0018073
hsa-miR-3654,MIMAT0018074
hsa-miR-3655,MIMAT0018075
hsa-miR-3656,MIMAT0018076
hsa-miR-3657,MIMAT0018077
hsa-miR-3658,MIMAT0018078
hsa-miR-3659,MIMAT0018080
hsa-miR-3660,MIMAT0018081
hsa-miR-3661,MIMAT0018082
hsa-miR-3662,MIMAT0018083
hsa-miR-3663-3p,MIMAT0018085
hsa-miR-3663-5p,MIMAT0018084
hsa-miR-3664,MIMAT0018086
hsa-miR-3665,MIMAT0018087
hsa-miR-3666,MIMAT0018088
hsa-miR-3667-3p,MIMAT0018090
hsa-miR-3667-5p,MIMAT0018089
hsa-miR-3668,MIMAT0018091
hsa-miR-3669,MIMAT0018092
hsa-miR-367,MIMAT0000719
hsa-miR-367-3p,MIMAT0004686
hsa-miR-3670,MIMAT0018093
hsa-miR-3671,MIMAT0018094
hsa-miR-3672,MIMAT0018095
hsa-miR-3673,MIMAT0018096
hsa-miR-3674,MIMAT0018097
hsa-miR-3675-3p,MIMAT0018099
hsa-miR-3675-5p,MIMAT0018098
hsa-miR-3676,MIMAT0018100
hsa-miR-3677,MIMAT0018101
hsa-miR-3678-3p,MIMAT0018103
hsa-miR-3678-5p,MIMAT0018102
hsa-miR-3679-3p,MIMAT0018105
hsa-miR-3679-5p,MIMAT0018104
hsa-miR-3680,MIMAT0018106
hsa-miR-3680-3p,MIMAT0018107
hsa-miR-3681,MIMAT0018108
hsa-miR-3681-3p,MIMAT0018109
hsa-miR-3682,MIMAT0018110
hsa-miR-3683,MIMAT0018111
hsa-miR-3684,MIMAT0018112
hsa-miR-3685,MIMAT0018113
hsa-miR-3686,MIMAT0018114
hsa-miR-3687,MIMAT0018115
hsa-miR-3688,MIMAT0018116
hsa-miR-3689a-3p,MIMAT0018118
hsa-miR-3689a-5p,MIMAT0018117
hsa-miR-3689b,MIMAT0018180
hsa-miR-3689b-3p,MIMAT0018181
hsa-miR-3690,MIMAT0018119
hsa-miR-3691,MIMAT0018120
hsa-miR-3692,MIMAT0018122
hsa-miR-3692-3p,MIMAT0018121
hsa-miR-369-3p,MIMAT0000721
hsa-miR-369-5p,MIMAT0001621
hsa-miR-370,MIMAT0000722
hsa-miR-3713,MIMAT0018164
hsa-miR-371-3p,MIMAT0000723
hsa-miR-3714,MIMAT0018165
hsa-miR-371-5p,MIMAT0004687
hsa-miR-372,MIMAT0000724
hsa-miR-373,MIMAT0000726
hsa-miR-373-3p,MIMAT0000725
hsa-miR-374a,MIMAT0000727
hsa-miR-374a-3p,MIMAT0004688
hsa-miR-374b,MIMAT0004955
hsa-miR-374b-3p,MIMAT0004956
hsa-miR-374c,MIMAT0018443
hsa-miR-375,MIMAT0000728
hsa-miR-376a,MIMAT0000729
hsa-miR-376a-3p,MIMAT0003386
hsa-miR-376b,MIMAT0002172
hsa-miR-376c,MIMAT0000720
hsa-miR-377,MIMAT0000730
hsa-miR-377-3p,MIMAT0004689
hsa-miR-378,MIMAT0000732
hsa-miR-378-3p,MIMAT0000731
hsa-miR-378b,MIMAT0014999
hsa-miR-378c,MIMAT0016847
hsa-miR-379,MIMAT0000733
hsa-miR-379-3p,MIMAT0004690
hsa-miR-380,MIMAT0000735
hsa-miR-380-3p,MIMAT0000734
hsa-miR-381,MIMAT0000736
hsa-miR-382,MIMAT0000737
hsa-miR-383,MIMAT0000738
hsa-miR-384,MIMAT0001075
hsa-miR-3907,MIMAT0018179
hsa-miR-3908,MIMAT0018182
hsa-miR-3909,MIMAT0018183
hsa-miR-3910,MIMAT0018184
hsa-miR-3911,MIMAT0018185
hsa-miR-3912,MIMAT0018186
hsa-miR-3913,MIMAT0018187
hsa-miR-3914,MIMAT0018188
hsa-miR-3915,MIMAT0018189
hsa-miR-3916,MIMAT0018190
hsa-miR-3917,MIMAT0018191
hsa-miR-3918,MIMAT0018192
hsa-miR-3919,MIMAT0018193
hsa-miR-3920,MIMAT0018195
hsa-miR-3921,MIMAT0018196
hsa-miR-3922,MIMAT0018197
hsa-miR-3923,MIMAT0018198
hsa-miR-3924,MIMAT0018199
hsa-miR-3925,MIMAT0018200
hsa-miR-3926,MIMAT0018201
hsa-miR-3927,MIMAT0018202
hsa-miR-3928,MIMAT0018205
hsa-miR-3929,MIMAT0018206
hsa-miR-3934,MIMAT0018349
hsa-miR-3935,MIMAT0018350
hsa-miR-3936,MIMAT0018351
hsa-miR-3937,MIMAT0018352
hsa-miR-3938,MIMAT0018353
hsa-miR-3939,MIMAT0018355
hsa-miR-3940,MIMAT0018356
hsa-miR-3941,MIMAT0018357
hsa-miR-3942,MIMAT0018358
hsa-miR-3943,MIMAT0018359
hsa-miR-3944,MIMAT0018360
hsa-miR-3945,MIMAT0018361
hsa-miR-409-3p,MIMAT0001639
hsa-miR-409-5p,MIMAT0001638
hsa-miR-410,MIMAT0002171
hsa-miR-411,MIMAT0003329
hsa-miR-411-3p,MIMAT0004813
hsa-miR-412,MIMAT0002170
hsa-miR-421,MIMAT0003339
hsa-miR-422a,MIMAT0001339
hsa-miR-423-3p,MIMAT0001340
hsa-miR-423-5p,MIMAT0004748
hsa-miR-424,MIMAT0001341
hsa-miR-424-3p,MIMAT0004749
hsa-miR-425,MIMAT0003393
hsa-miR-425-3p,MIMAT0001343
hsa-miR-4251,MIMAT0016883
hsa-miR-4252,MIMAT0016886
hsa-miR-4253,MIMAT0016882
hsa-miR-4254,MIMAT0016884
hsa-miR-4255,MIMAT0016885
hsa-miR-4256,MIMAT0016877
hsa-miR-4257,MIMAT0016878
hsa-miR-4258,MIMAT0016879
hsa-miR-4259,MIMAT0016880
hsa-miR-4260,MIMAT0016881
hsa-miR-4261,MIMAT0016890
hsa-miR-4262,MIMAT0016894
hsa-miR-4263,MIMAT0016898
hsa-miR-4264,MIMAT0016899
hsa-miR-4265,MIMAT0016891
hsa-miR-4266,MIMAT0016892
hsa-miR-4267,MIMAT0016893
hsa-miR-4268,MIMAT0016896
hsa-miR-4269,MIMAT0016897
hsa-miR-4270,MIMAT0016900
hsa-miR-4271,MIMAT0016901
hsa-miR-4272,MIMAT0016902
hsa-miR-4273,MIMAT0016903
hsa-miR-4274,MIMAT0016906
hsa-miR-4275,MIMAT0016905
hsa-miR-4276,MIMAT0016904
hsa-miR-4277,MIMAT0016908
hsa-miR-4278,MIMAT0016910
hsa-miR-4279,MIMAT0016909
hsa-miR-4280,MIMAT0016911
hsa-miR-4281,MIMAT0016907
hsa-miR-4282,MIMAT0016912
hsa-miR-4283,MIMAT0016914
hsa-miR-4284,MIMAT0016915
hsa-miR-4285,MIMAT0016913
hsa-miR-4286,MIMAT0016916
hsa-miR-4287,MIMAT0016917
hsa-miR-4288,MIMAT0016918
hsa-miR-4289,MIMAT0016920
hsa-miR-429,MIMAT0001536
hsa-miR-4290,MIMAT0016921
hsa-miR-4291,MIMAT0016922
hsa-miR-4292,MIMAT0016919
hsa-miR-4293,MIMAT0016848
hsa-miR-4294,MIMAT0016849
hsa-miR-4295,MIMAT0016844
hsa-miR-4296,MIMAT0016845
hsa-miR-4297,MIMAT0016846
hsa-miR-4298,MIMAT0016852
hsa-miR-4299,MIMAT0016851
hsa-miR-4300,MIMAT0016853
hsa-miR-4301,MIMAT0016850
hsa-miR-4302,MIMAT0016855
hsa-miR-4303,MIMAT0016856
hsa-miR-4304,MIMAT0016854
hsa-miR-4305,MIMAT0016857
hsa-miR-4306,MIMAT0016858
hsa-miR-4307,MIMAT0016860
hsa-miR-4308,MIMAT0016861
hsa-miR-4309,MIMAT0016859
hsa-miR-431,MIMAT0001625
hsa-miR-431-3p,MIMAT0004757
hsa-miR-4310,MIMAT0016862
hsa-miR-4311,MIMAT0016863
hsa-miR-4312,MIMAT0016864
hsa-miR-4313,MIMAT0016865
hsa-miR-4314,MIMAT0016868
hsa-miR-4315,MIMAT0016866
hsa-miR-4316,MIMAT0016867
hsa-miR-4317,MIMAT0016872
hsa-miR-4318,MIMAT0016869
hsa-miR-4319,MIMAT0016870
hsa-miR-432,MIMAT0002814
hsa-miR-432-3p,MIMAT0002815
hsa-miR-4320,MIMAT0016871
hsa-miR-4321,MIMAT0016874
hsa-miR-4322,MIMAT0016873
hsa-miR-4323,MIMAT0016875
hsa-miR-4324,MIMAT0016876
hsa-miR-4325,MIMAT0016887
hsa-miR-4326,MIMAT0016888
hsa-miR-4327,MIMAT0016889
hsa-miR-4328,MIMAT0016926
hsa-miR-4329,MIMAT0016923
hsa-miR-433,MIMAT0001627
hsa-miR-4330,MIMAT0016924
hsa-miR-448,MIMAT0001532
hsa-miR-449a,MIMAT0001541
hsa-miR-449b,MIMAT0003327
hsa-miR-449b-3p,MIMAT0009203
hsa-miR-449c,MIMAT0010251
hsa-miR-449c-3p,MIMAT0013771
hsa-miR-450a,MIMAT0001545
hsa-miR-450b-3p,MIMAT0004910
hsa-miR-450b-5p,MIMAT0004909
hsa-miR-451,MIMAT0001631
hsa-miR-452,MIMAT0001635
hsa-miR-452-3p,MIMAT0001636
hsa-miR-454,MIMAT0003885
hsa-miR-454-3p,MIMAT0003884
hsa-miR-455-3p,MIMAT0004784
hsa-miR-455-5p,MIMAT0003150
hsa-miR-466,MIMAT0015002
hsa-miR-483-3p,MIMAT0002173
hsa-miR-483-5p,MIMAT0004761
hsa-miR-484,MIMAT0002174
hsa-miR-485-3p,MIMAT0002176
hsa-miR-485-5p,MIMAT0002175
hsa-miR-486-3p,MIMAT0004762
hsa-miR-486-5p,MIMAT0002177
hsa-miR-487a,MIMAT0002178
hsa-miR-487b,MIMAT0003180
hsa-miR-488,MIMAT0004763
hsa-miR-488-3p,MIMAT0002804
hsa-miR-489,MIMAT0002805
hsa-miR-490-3p,MIMAT0002806
hsa-miR-490-5p,MIMAT0004764
hsa-miR-491-3p,MIMAT0004765
hsa-miR-491-5p,MIMAT0002807
hsa-miR-492,MIMAT0002812
hsa-miR-493,MIMAT0003161
hsa-miR-493-3p,MIMAT0002813
hsa-miR-494,MIMAT0002816
hsa-miR-495,MIMAT0002817
hsa-miR-496,MIMAT0002818
hsa-miR-497,MIMAT0002820
hsa-miR-497-3p,MIMAT0004768
hsa-miR-498,MIMAT0002824
hsa-miR-499-3p,MIMAT0004772
hsa-miR-499-5p,MIMAT0002870
hsa-miR-500a,MIMAT0004773
hsa-miR-500a-3p,MIMAT0002871
hsa-miR-500b,MIMAT0016925
hsa-miR-501-3p,MIMAT0004774
hsa-miR-501-5p,MIMAT0002872
hsa-miR-502-3p,MIMAT0004775
hsa-miR-502-5p,MIMAT0002873
hsa-miR-503,MIMAT0002874
hsa-miR-504,MIMAT0002875
hsa-miR-505,MIMAT0002876
hsa-miR-505-3p,MIMAT0004776
hsa-miR-506,MIMAT0002878
hsa-miR-507,MIMAT0002879
hsa-miR-508-3p,MIMAT0002880
hsa-miR-508-5p,MIMAT0004778
hsa-miR-509-3-5p,MIMAT0004975
hsa-miR-509-3p,MIMAT0002881
hsa-miR-509-5p,MIMAT0004779
hsa-miR-510,MIMAT0002882
hsa-miR-511,MIMAT0002808
hsa-miR-512-3p,MIMAT0002823
hsa-miR-512-5p,MIMAT0002822
hsa-miR-513a-3p,MIMAT0004777
hsa-miR-513a-5p,MIMAT0002877
hsa-miR-513b,MIMAT0005788
hsa-miR-513c,MIMAT0005789
hsa-miR-514,MIMAT0002883
hsa-miR-514b-3p,MIMAT0015088
hsa-miR-514b-5p,MIMAT0015087
hsa-miR-515-3p,MIMAT0002827
hsa-miR-515-5p,MIMAT0002826
hsa-miR-516a-3p,MIMAT0006778
hsa-miR-516a-5p,MIMAT0004770
hsa-miR-516b,MIMAT0002859
hsa-miR-516b-3p,MIMAT0002860
hsa-miR-517-3p,MIMAT0002851
hsa-miR-517a,MIMAT0002852
hsa-miR-517b,MIMAT0002857
hsa-miR-517c,MIMAT0002866
hsa-miR-518a-3p,MIMAT0002863
hsa-miR-518a-5p,MIMAT0005457
hsa-miR-518b,MIMAT0002844
hsa-miR-518c,MIMAT0002848
hsa-miR-518c-3p,MIMAT0002847
hsa-miR-518d-3p,MIMAT0002864
hsa-miR-518d-5p,MIMAT0005456
hsa-miR-518e,MIMAT0002861
hsa-miR-518e-3p,MIMAT0005450
hsa-miR-518f,MIMAT0002842
hsa-miR-518f-3p,MIMAT0002841
hsa-miR-519a,MIMAT0002869
hsa-miR-519a-3p,MIMAT0005452
hsa-miR-519b-3p,MIMAT0002837
hsa-miR-519b-5p,MIMAT0005454
hsa-miR-519c-3p,MIMAT0002832
hsa-miR-519c-5p,MIMAT0002831
hsa-miR-519d,MIMAT0002853
hsa-miR-519e,MIMAT0002829
hsa-miR-519e-3p,MIMAT0002828
hsa-miR-520a-3p,MIMAT0002834
hsa-miR-520a-5p,MIMAT0002833
hsa-miR-520b,MIMAT0002843
hsa-miR-520c-3p,MIMAT0002846
hsa-miR-520c-5p,MIMAT0005455
hsa-miR-520d-3p,MIMAT0002856
hsa-miR-520d-5p,MIMAT0002855
hsa-miR-520e,MIMAT0002825
hsa-miR-520f,MIMAT0002830
hsa-miR-520g,MIMAT0002858
hsa-miR-520h,MIMAT0002867
hsa-miR-521,MIMAT0002854
hsa-miR-522,MIMAT0002868
hsa-miR-522-3p,MIMAT0005451
hsa-miR-523,MIMAT0002840
hsa-miR-523-3p,MIMAT0005449
hsa-miR-524-3p,MIMAT0002850
hsa-miR-524-5p,MIMAT0002849
hsa-miR-525-3p,MIMAT0002839
hsa-miR-525-5p,MIMAT0002838
hsa-miR-526a,MIMAT0002845
hsa-miR-526b,MIMAT0002835
hsa-miR-526b-3p,MIMAT0002836
hsa-miR-527,MIMAT0002862
hsa-miR-532-3p,MIMAT0004780
hsa-miR-532-5p,MIMAT0002888
hsa-miR-539,MIMAT0003163
hsa-miR-541,MIMAT0004920
hsa-miR-541-3p,MIMAT0004919
hsa-miR-542-3p,MIMAT0003389
hsa-miR-542-5p,MIMAT0003340
hsa-miR-543,MIMAT0004954
hsa-miR-544,MIMAT0003164
hsa-miR-544b,MIMAT0015004
hsa-miR-545,MIMAT0003165
hsa-miR-545-3p,MIMAT0004785
hsa-miR-548a-3p,MIMAT0003251
hsa-miR-548a-5p,MIMAT0004803
hsa-miR-548aa,MIMAT0018447
hsa-miR-548b-3p,MIMAT0003254
hsa-miR-548b-5p,MIMAT0004798
hsa-miR-548c-3p,MIMAT0003285
hsa-miR-548c-5p,MIMAT0004806
hsa-miR-548d-3p,MIMAT0003323
hsa-miR-548d-5p,MIMAT0004812
hsa-miR-548e,MIMAT0005874
hsa-miR-548f,MIMAT0005895
hsa-miR-548g,MIMAT0005912
hsa-miR-548h,MIMAT0005928
hsa-miR-548i,MIMAT0005935
hsa-miR-548j,MIMAT0005875
hsa-miR-548k,MIMAT0005882
hsa-miR-548l,MIMAT0005889
hsa-miR-548m,MIMAT0005917
hsa-miR-548n,MIMAT0005916
hsa-miR-548o,MIMAT0005919
hsa-miR-548p,MIMAT0005934
hsa-miR-548q,MIMAT0011163
hsa-miR-548s,MIMAT0014987
hsa-miR-548t,MIMAT0015009
hsa-miR-548u,MIMAT0015013
hsa-miR-548v,MIMAT0015020
hsa-miR-548w,MIMAT0015060
hsa-miR-548x,MIMAT0015081
hsa-miR-548y,MIMAT0018354
hsa-miR-548z,MIMAT0018446
hsa-miR-549,MIMAT0003333
hsa-miR-550a,MIMAT0004800
hsa-miR-550a-3p,MIMAT0003257
hsa-miR-550b,MIMAT0018445
hsa-miR-551a,MIMAT0003214
hsa-miR-551b,MIMAT0003233
hsa-miR-551b-3p,MIMAT0004794
hsa-miR-552,MIMAT0003215
hsa-miR-553,MIMAT0003216
hsa-miR-554,MIMAT0003217
hsa-miR-555,MIMAT0003219
hsa-miR-556-3p,MIMAT0004793
hsa-miR-556-5p,MIMAT0003220
hsa-miR-557,MIMAT0003221
hsa-miR-558,MIMAT0003222
hsa-miR-559,MIMAT0003223
hsa-miR-561,MIMAT0003225
hsa-miR-562,MIMAT0003226
hsa-miR-563,MIMAT0003227
hsa-miR-564,MIMAT0003228
hsa-miR-566,MIMAT0003230
hsa-miR-567,MIMAT0003231
hsa-miR-568,MIMAT0003232
hsa-miR-569,MIMAT0003234
hsa-miR-570,MIMAT0003235
hsa-miR-571,MIMAT0003236
hsa-miR-572,MIMAT0003237
hsa-miR-573,MIMAT0003238
hsa-miR-574-3p,MIMAT0003239
hsa-miR-574-5p,MIMAT0004795
hsa-miR-575,MIMAT0003240
hsa-miR-576-3p,MIMAT0004796
hsa-miR-576-5p,MIMAT0003241
hsa-miR-577,MIMAT0003242
hsa-miR-578,MIMAT0003243
hsa-miR-579,MIMAT0003244
hsa-miR-580,MIMAT0003245
hsa-miR-581,MIMAT0003246
hsa-miR-582-3p,MIMAT0004797
hsa-miR-582-5p,MIMAT0003247
hsa-miR-583,MIMAT0003248
hsa-miR-584,MIMAT0003249
hsa-miR-585,MIMAT0003250
hsa-miR-586,MIMAT0003252
hsa-miR-587,MIMAT0003253
hsa-miR-588,MIMAT0003255
hsa-miR-589,MIMAT0004799
hsa-miR-589-3p,MIMAT0003256
hsa-miR-590-3p,MIMAT0004801
hsa-miR-590-5p,MIMAT0003258
hsa-miR-591,MIMAT0003259
hsa-miR-592,MIMAT0003260
hsa-miR-593,MIMAT0004802
hsa-miR-593-3p,MIMAT0003261
hsa-miR-595,MIMAT0003263
hsa-miR-596,MIMAT0003264
hsa-miR-597,MIMAT0003265
hsa-miR-598,MIMAT0003266
hsa-miR-599,MIMAT0003267
hsa-miR-600,MIMAT0003268
hsa-miR-601,MIMAT0003269
hsa-miR-602,MIMAT0003270
hsa-miR-603,MIMAT0003271
hsa-miR-604,MIMAT0003272
hsa-miR-605,MIMAT0003273
hsa-miR-606,MIMAT0003274
hsa-miR-607,MIMAT0003275
hsa-miR-608,MIMAT0003276
hsa-miR-609,MIMAT0003277
hsa-miR-610,MIMAT0003278
hsa-miR-611,MIMAT0003279
hsa-miR-612,MIMAT0003280
hsa-miR-613,MIMAT0003281
hsa-miR-614,MIMAT0003282
hsa-miR-615-3p,MIMAT0003283
hsa-miR-615-5p,MIMAT0004804
hsa-miR-616,MIMAT0004805
hsa-miR-616-3p,MIMAT0003284
hsa-miR-617,MIMAT0003286
hsa-miR-618,MIMAT0003287
hsa-miR-619,MIMAT0003288
hsa-miR-620,MIMAT0003289
hsa-miR-621,MIMAT0003290
hsa-miR-622,MIMAT0003291
hsa-miR-623,MIMAT0003292
hsa-miR-624,MIMAT0004807
hsa-miR-624-3p,MIMAT0003293
hsa-miR-625,MIMAT0003294
hsa-miR-625-3p,MIMAT0004808
hsa-miR-626,MIMAT0003295
hsa-miR-627,MIMAT0003296
hsa-miR-628-3p,MIMAT0003297
hsa-miR-628-5p,MIMAT0004809
hsa-miR-629,MIMAT0004810
hsa-miR-629-3p,MIMAT0003298
hsa-miR-630,MIMAT0003299
hsa-miR-631,MIMAT0003300
hsa-miR-632,MIMAT0003302
hsa-miR-633,MIMAT0003303
hsa-miR-634,MIMAT0003304
hsa-miR-635,MIMAT0003305
hsa-miR-636,MIMAT0003306
hsa-miR-637,MIMAT0003307
hsa-miR-638,MIMAT0003308
hsa-miR-639,MIMAT0003309
hsa-miR-640,MIMAT0003310
hsa-miR-641,MIMAT0003311
hsa-miR-642a,MIMAT0003312
hsa-miR-642b,MIMAT0018444
hsa-miR-643,MIMAT0003313
hsa-miR-644,MIMAT0003314
hsa-miR-645,MIMAT0003315
hsa-miR-646,MIMAT0003316
hsa-miR-647,MIMAT0003317
hsa-miR-648,MIMAT0003318
hsa-miR-649,MIMAT0003319
hsa-miR-650,MIMAT0003320
hsa-miR-651,MIMAT0003321
hsa-miR-652,MIMAT0003322
hsa-miR-653,MIMAT0003328
hsa-miR-654-3p,MIMAT0004814
hsa-miR-654-5p,MIMAT0003330
hsa-miR-655,MIMAT0003331
hsa-miR-656,MIMAT0003332
hsa-miR-657,MIMAT0003335
hsa-miR-658,MIMAT0003336
hsa-miR-659,MIMAT0003337
hsa-miR-660,MIMAT0003338
hsa-miR-661,MIMAT0003324
hsa-miR-662,MIMAT0003325
hsa-miR-663,MIMAT0003326
hsa-miR-663b,MIMAT0005867
hsa-miR-664,MIMAT0005949
hsa-miR-664-3p,MIMAT0005948
hsa-miR-665,MIMAT0004952
hsa-miR-668,MIMAT0003881
hsa-miR-670,MIMAT0010357
hsa-miR-671-3p,MIMAT0004819
hsa-miR-671-5p,MIMAT0003880
hsa-miR-675,MIMAT0004284
hsa-miR-675-3p,MIMAT0006790
hsa-miR-676,MIMAT0018204
hsa-miR-676-3p,MIMAT0018203
hsa-miR-7,MIMAT0000252
hsa-miR-708,MIMAT0004926
hsa-miR-708-3p,MIMAT0004927
hsa-miR-7-1-3p,MIMAT0004553
hsa-miR-711,MIMAT0012734
hsa-miR-718,MIMAT0012735
hsa-miR-7-2-3p,MIMAT0004554
hsa-miR-720,MIMAT0005954
hsa-miR-744,MIMAT0004945
hsa-miR-744-3p,MIMAT0004946
hsa-miR-758,MIMAT0003879
hsa-miR-759,MIMAT0010497
hsa-miR-760,MIMAT0004957
hsa-miR-761,MIMAT0010364
hsa-miR-762,MIMAT0010313
hsa-miR-764,MIMAT0010367
hsa-miR-765,MIMAT0003945
hsa-miR-766,MIMAT0003888
hsa-miR-767-3p,MIMAT0003883
hsa-miR-767-5p,MIMAT0003882
hsa-miR-769-3p,MIMAT0003887
hsa-miR-769-5p,MIMAT0003886
hsa-miR-770-5p,MIMAT0003948
hsa-miR-802,MIMAT0004185
hsa-miR-873,MIMAT0004953
hsa-miR-874,MIMAT0004911
hsa-miR-875-3p,MIMAT0004923
hsa-miR-875-5p,MIMAT0004922
hsa-miR-876-3p,MIMAT0004925
hsa-miR-876-5p,MIMAT0004924
hsa-miR-877,MIMAT0004949
hsa-miR-877-3p,MIMAT0004950
hsa-miR-885-3p,MIMAT0004948
hsa-miR-885-5p,MIMAT0004947
hsa-miR-887,MIMAT0004951
hsa-miR-888,MIMAT0004916
hsa-miR-888-3p,MIMAT0004917
hsa-miR-889,MIMAT0004921
hsa-miR-890,MIMAT0004912
hsa-miR-891a,MIMAT0004902
hsa-miR-891b,MIMAT0004913
hsa-miR-892a,MIMAT0004907
hsa-miR-892b,MIMAT0004918
hsa-miR-9,MIMAT0000441
hsa-miR-9-3p,MIMAT0000442
hsa-miR-920,MIMAT0004970
hsa-miR-921,MIMAT0004971
hsa-miR-922,MIMAT0004972
hsa-miR-924,MIMAT0004974
hsa-miR-92a,MIMAT0000092
hsa-miR-92a-1-3p,MIMAT0004507
hsa-miR-92a-2-3p,MIMAT0004508
hsa-miR-92b,MIMAT0003218
hsa-miR-92b-3p,MIMAT0004792
hsa-miR-93,MIMAT0000093
hsa-miR-93-3p,MIMAT0004509
hsa-miR-933,MIMAT0004976
hsa-miR-934,MIMAT0004977
hsa-miR-935,MIMAT0004978
hsa-miR-936,MIMAT0004979
hsa-miR-937,MIMAT0004980
hsa-miR-938,MIMAT0004981
hsa-miR-939,MIMAT0004982
hsa-miR-940,MIMAT0004983
hsa-miR-941,MIMAT0004984
hsa-miR-942,MIMAT0004985
hsa-miR-943,MIMAT0004986
hsa-miR-944,MIMAT0004987
hsa-miR-95,MIMAT0000094
hsa-miR-96,MIMAT0000095
hsa-miR-96-3p,MIMAT0004510
hsa-miR-98,MIMAT0000096
hsa-miR-99a,MIMAT0000097
hsa-miR-99a-3p,MIMAT0004511
hsa-miR-99b,MIMAT0000689
hsa-miR-99b-3p,MIMAT0004678
hsa-miR153-5p,MIMAT0026480
